pid,longitude,latitude,height
3m8nD0OlaK,18.277399,49.987999,195.4
3m8nD0P2cC,18.273696,49.987697,202.6
3m8nD0P2cH,18.273968,49.987728,203.0
3m8nD0P2cJ,18.274112,49.987745,205.2
3m8nD0P2cK,18.274045,49.987738,198.5
3m8nD0P2cL,18.274219,49.987758,205.2
3m8nD0P2cN,18.274222,49.987758,199.6
3m8nD0P2cO,18.274248,49.987761,198.1
3m8nD0P2cX,18.274897,49.987836,207.7
3m8nD0P2cZ,18.274988,49.987847,206.9
3m8nD0P2cu,18.27593,49.987956,197.7
3m8nD0P2cv,18.275999,49.987964,198.6
3m8nD0P2d2,18.276481,49.98802,204.9
3m8nD0P2d3,18.276509,49.988023,203.6
3m8nD0P2d5,18.276624,49.988036,204.1
3m8nD0P2d9,18.276743,49.98805,199.0
3m8nD0P2dA,18.276815,49.988059,200.1
3m8nD0P2dG,18.277106,49.988092,198.6
3m8nD0P2dH,18.277156,49.988098,198.5
3m8nD0PJfJ,18.273984,49.987857,205.8
3m8nD0PJfL,18.274092,49.98787,206.0
3m8nD0PJfM,18.274052,49.987865,200.8
3m8nD0PJfw,18.275956,49.988086,201.1
3m8nD0PJfx,18.275986,49.988089,199.8
3m8nD0PJg2,18.276244,49.988119,199.6
3m8nD0PJg6,18.276534,49.988153,204.0
3m8nD0PJgB,18.276793,49.988183,203.7
3m8nD0PJgM,18.277238,49.988235,196.2
3m8nD0PaiC,18.273419,49.987919,202.7
3m8nD0PaiD,18.273492,49.987927,203.9
3m8nD0PaiE,18.273519,49.987931,202.5
3m8nD0PaiF,18.273563,49.987936,202.0
3m8nD0PaiS,18.274239,49.988014,201.4
3m8nD0PaiU,18.274349,49.988027,201.7
3m8nD0PaiV,18.274419,49.988035,202.7
3m8nD0Paih,18.274988,49.988101,199.1
3m8nD0Paii,18.275139,49.988118,204.5
3m8nD0Paiw,18.275777,49.988192,199.0
3m8nD0Paix,18.275946,49.988212,205.4
3m8nD0Paiz,18.275992,49.988217,202.1
3m8nD0Paj0,18.275979,49.988216,198.5
3m8nD0Paj3,18.27622,49.988244,203.1
3m8nD0Paj4,18.276221,49.988244,200.2
3m8nD0Paj5,18.276289,49.988252,201.1
3m8nD0Paj8,18.276461,49.988272,201.8
3m8nD0PajJ,18.276994,49.988333,199.2
3m8nD0PrlF,18.273463,49.988051,204.2
3m8nD0PrlJ,18.273651,49.988073,203.0
3m8nD0PrlK,18.273669,49.988075,201.0
3m8nD0PrlR,18.27421,49.988138,210.5
3m8nD0Prlb,18.274561,49.988178,200.8
3m8nD0Prli,18.275003,49.98823,204.8
3m8nD0Prlk,18.275109,49.988242,204.8
3m8nD0Prll,18.275107,49.988242,201.8
3m8nD0Prlm,18.275094,49.98824,198.1
3m8nD0Prly,18.275916,49.988335,208.6
3m8nD0Prm1,18.275974,49.988342,203.0
3m8nD0Prm2,18.276023,49.988348,202.9
3m8nD0Prm7,18.2762,49.988368,198.1
