16099;17464;16717;52478;64719;65032;16112;16378;52657;16101;12416;17830;64926;16370;20808;17120;49421;16098;12412;14956;13316;65538;16715;17833;13327;17474;15164;25862;19456;17089;9582;17489;51191;16382;53001;17102;16094;17832;17487;51858;17101;12230;18166;16100;38168;15362;4406
-48.397076;-31.338743;-52.635704;-153.37695;-53.16926;-55.375664;-37.68627;-52.65224;-122.571785;-49.83377;-16.211376;-27.729614;-56.0986;-31.277758;-74.22091;-57.787422;-54.326157;-48.241543;-14.088469;-25.573187;-19.02139;-53.213505;-45.11789;-49.941265;-0.6302607;-33.853634;-23.921446;-89.34637;-45.48144;-41.065144;-3.989131;-49.73377;7.6140814;-48.827705;-142.01959;-51.84438;-52.86135;-38.969845;-54.14863;-7.0531135;-40.33498;-9.828005;-46.08383;-48.743057;-98.40808;-48.16477;-1.6123635
-48.397076;-31.338743;-52.635704;-153.37695;-53.16926;-55.375664;-37.68627;-52.65224;-122.571785;-49.83377;-16.211376;-27.729614;-56.0986;-31.277758;-74.22091;-57.787422;-54.326157;-48.241543;-14.088469;-25.573187;-19.02139;-53.213505;-45.11789;-49.941265;-0.6302607;-33.853634;-23.921446;-89.34637;-45.48144;-41.065144;-3.989131;-49.73377;7.6140814;-48.827705;-142.01959;-51.84438;-52.86135;-38.969845;-54.14863;-7.0531135;-40.33498;-9.828005;-46.08383;-48.743057;-98.40808;-48.16477;-1.6123635
-48.397076;-31.338743;-52.635704;-153.37695;-53.16926;-55.375664;-37.68627;-52.65224;-122.571785;-49.83377;-16.211376;-27.729614;-56.0986;-31.277758;-74.22091;-57.787422;-54.326157;-48.241543;-14.088469;-25.573187;-19.02139;-53.213505;-45.11789;-49.941265;-0.6302607;-33.853634;-23.921446;-89.34637;-45.48144;-41.065144;-3.989131;-49.73377;7.6140814;-48.827705;-142.01959;-51.84438;-52.86135;-38.969845;-54.14863;-7.0531135;-40.33498;-9.828005;-46.08383;-48.743057;-98.40808;-48.16477;-1.6123635
-48.397076;-31.338743;-52.635704;-153.37695;-53.16926;-55.375664;-37.68627;-52.65224;-122.571785;-49.83377;-16.211376;-27.729614;-56.0986;-31.277758;-74.22091;-57.787422;-54.326157;-48.241543;-14.088469;-25.573187;-19.02139;-53.213505;-45.11789;-49.941265;-0.6302607;-33.853634;-23.921446;-89.34637;-45.48144;-41.065144;-3.989131;-49.73377;7.6140814;-48.827705;-142.01959;-51.84438;-52.86135;-38.969845;-54.14863;-7.0531135;-40.33498;-9.828005;-46.08383;-48.743057;-98.40808;-48.16477;-1.6123635
-48.397076;-31.338743;-52.635704;-153.37695;-53.16926;-55.375664;-37.68627;-52.65224;-122.571785;-49.83377;-16.211376;-27.729614;-56.0986;-31.277758;-74.22091;-57.787422;-54.326157;-48.241543;-14.088469;-25.573187;-19.02139;-53.213505;-45.11789;-49.941265;-0.6302607;-33.853634;-23.921446;-89.34637;-45.48144;-41.065144;-3.989131;-49.73377;7.6140814;-48.827705;-142.01959;-51.84438;-52.86135;-38.969845;-54.14863;-7.0531135;-40.33498;-9.828005;-46.08383;-48.743057;-98.40808;-48.16477;-1.6123635
-48.589733;-32.02771;-53.448513;-154.87921;-54.46509;-55.417957;-35.023445;-53.05551;-122.5953;-50.481033;-16.86351;-27.700485;-56.43789;-31.79932;-74.60694;-56.962654;-54.513256;-48.313892;-14.375932;-25.543606;-18.508917;-53.74369;-45.57356;-50.08267;-1.5513616;-33.951912;-23.908861;-89.52523;-44.306046;-41.027576;-3.7557907;-49.25113;9.085899;-49.37861;-142.33621;-52.063652;-51.86081;-39.372627;-53.905563;-7.2655573;-40.699387;-9.8383255;-46.031837;-49.050423;-99.07141;-48.718018;0.3584303
-48.856163;-33.39126;-53.679886;-155.95953;-54.654167;-55.445225;-35.78827;-53.374367;-122.0856;-50.990906;-16.854294;-27.30026;-56.120255;-32.928032;-74.65408;-55.020416;-55.00696;-48.466606;-14.437253;-25.052853;-17.780497;-53.57812;-45.391197;-49.808174;-1.5940837;-33.828503;-23.303982;-89.42907;-44.32271;-41.29156;-3.13221;-48.441216;9.596233;-49.54354;-142.32973;-52.4552;-51.613636;-35.244267;-53.937344;-8.323579;-42.801197;-10.193867;-45.682453;-49.41368;-99.47109;-48.043503;-0.011782807
-48.720043;-33.781643;-53.26515;-156.92508;-54.86956;-55.466576;-35.45939;-53.513195;-121.97293;-51.24014;-16.503012;-27.451937;-55.912556;-32.08692;-74.44617;-58.482956;-55.22693;-48.2297;-14.295594;-24.764446;-17.707373;-53.98655;-44.984543;-49.4769;-1.154989;-33.646843;-23.215115;-90.24359;-44.856297;-41.258224;-2.732488;-48.496517;9.266874;-48.948208;-142.25818;-52.39915;-53.909855;-36.33049;-53.56807;-8.461173;-41.15067;-9.60452;-45.3066;-49.472717;-99.7557;-48.35975;0.709966
-48.449932;-32.656986;-52.98312;-157.942;-54.62323;-55.478912;-36.28434;-53.1979;-121.45561;-51.1473;-16.173826;-27.43155;-55.663483;-31.751095;-74.334885;-57.86913;-54.99564;-48.10093;-14.199927;-25.05538;-17.335236;-54.04396;-45.78066;-45.078987;-1.8229698;-34.318058;-23.303928;-90.88726;-43.783066;-40.54311;-2.975969;-48.662865;6.030704;-48.748398;-142.67033;-52.136;-54.049194;-36.939358;-52.843464;-8.07997;-41.766937;-9.477757;-45.379494;-49.30198;-99.89956;-48.74183;0.7217481
