pid,lower_bound,upper_bound,actual_value,predicted_value,is_anomaly
3m8ox4y17m,-7.795105380561249,-7.099129219438752,-8.399999999999999,-7.4471173,True
3m8ox4y17m,-7.795105380561249,-7.099129219438752,-7.989999999999998,-7.4471173,True
3m8ox4y17m,-7.795105380561249,-7.099129219438752,-7.469999999999999,-7.4471173,False
3m8ox4y17m,-7.795105380561249,-7.099129219438752,-7.3599999999999985,-7.4471173,False
3m8ox4y17m,-7.795105380561249,-7.099129219438752,-7.219999999999999,-7.4471173,False
3m8ox4y17m,-7.584306680561248,-6.888330519438751,-6.98,-7.2363186,False
3m8ox4y17m,-7.180026080561248,-6.4840499194387515,-6.52,-6.832038,False
3m8ox4y17m,-6.497950080561249,-5.801973919438752,-5.78,-6.149962,True
3m8ox4y17m,-6.173918680561249,-5.477942519438752,-5.670000000000001,-5.8259306,False
3m8ox4y17m,-5.393849280561248,-4.697873119438752,-4.9,-5.0458612,False
3m8ox4y17m,-5.2360486805612485,-4.540072519438752,-5.06,-4.8880606,False
3m8ox4y17m,-5.400669080561248,-4.7046929194387515,-5.13,-5.052681,False
3m8ox4y17m,-5.600876780561248,-4.904900619438751,-5.34,-5.2528887,False
3m8ox4y17m,-6.020681380561248,-5.324705219438751,-5.85,-5.6726933,False
3m8ox4y17m,-5.874374780561248,-5.1783986194387515,-5.47,-5.5263867,False
3m8ox4y17m,-5.932288580561249,-5.236312419438752,-5.719999999999999,-5.5843005,False
3m8ox4y17m,-6.197279080561248,-5.501302919438752,-5.89,-5.849291,False
3m8ox4y17m,-6.626397580561249,-5.930421419438752,-6.279999999999999,-6.2784095,False
3m8ox4y17m,-6.453505480561248,-5.757529319438752,-5.989999999999999,-6.1055174,False
3m8ox4y17m,-6.175953380561248,-5.4799772194387515,-5.719999999999999,-5.8279653,False
3m8ox4y17m,-5.995626080561248,-5.299649919438751,-5.55,-5.647638,False
3m8ox4y17m,-5.811799480561248,-5.115823319438752,-5.37,-5.4638114,False
3m8ox4y17m,-5.478602380561249,-4.782626219438752,-5.09,-5.1306143,False
3m8ox4y17m,-5.302477080561248,-4.606500919438751,-5.03,-4.954489,False
3m8ox4y17m,-5.585810080561249,-4.889833919438752,-5.380000000000001,-5.237822,False
3m8ox4y17m,-5.305910580561248,-4.609934419438751,-4.919999999999999,-4.9579225,False
3m8ox4y17m,-5.047689080561248,-4.351712919438752,-4.81,-4.699701,False
3m8ox4y17m,-5.096084080561249,-4.400107919438752,-4.84,-4.748096,False
3m8ox4y17m,-5.214765080561248,-4.518788919438752,-5.06,-4.866777,False
3m8ox4y17m,-5.838340680561248,-5.142364519438751,-5.68,-5.4903526,False
3m8ox4y17m,-5.943783680561248,-5.2478075194387515,-5.64,-5.5957956,False
3m8ox4y17m,-5.585669080561249,-4.889692919438752,-5.199999999999999,-5.237681,False
3m8ox4y17m,-5.786251080561248,-5.090274919438752,-5.62,-5.438263,False
3m8ox4y17m,-5.578892680561248,-4.882916519438751,-5.08,-5.2309046,False
3m8ox4y17m,-5.189095080561248,-4.493118919438752,-4.94,-4.841107,False
3m8ox4y17m,-5.543943080561248,-4.847966919438751,-5.390000000000001,-5.195955,False
3m8ox4y17m,-5.504431080561249,-4.808454919438752,-5.130000000000001,-5.156443,False
