pid,latitude,longitude,height
3m8ox52Pxs,51.114522,17.072053,120.3
3m8ox52Pxx,51.114561,17.072373,121.4
3m8ox52Pxy,51.114564,17.072398,119.8
3m8ox52Py3,51.114597,17.072675,118.9
3m8ox52h0o,51.114604,17.071678,121.2
3m8ox52h0p,51.114611,17.071741,121.4
3m8ox52h0r,51.114624,17.071842,120.6
3m8ox52h0u,51.114644,17.072014,120.3
3m8ox52h0z,51.114681,17.072318,120.6
3m8ox52h10,51.114686,17.072358,119.7
3m8ox52h14,51.114716,17.072606,120.2
3m8ox52h15,51.114723,17.07266,120.0
3m8ox52y3s,51.114735,17.071709,118.9
3m8ox52y3t,51.114745,17.071796,120.2
3m8ox52y3w,51.114763,17.071938,118.5
3m8ox52y41,51.114805,17.07229,121.1
3m8ox52y42,51.114812,17.072347,121.0
3m8ox53F6t,51.114854,17.071636,120.1
3m8ox53F6w,51.114873,17.071796,119.2
3m8ox53F6x,51.114881,17.071863,119.6
3m8ox53F7A,51.114973,17.072623,119.0
