pid,lower_bound,upper_bound,actual_value,predicted_value,is_anomaly
3E4jb52iLh,-2.0806812426967216,11.885240950338323,10.17,4.902279853820801,False
3E4jb52iLh,-2.0346578738612724,11.931264319173772,8.84,4.94830322265625,False
3E4jb52iLh,-2.2258767268580986,11.740045466176946,7.51,4.757084369659424,False
3E4jb52iLh,-2.224236883871038,11.741685309164007,6.18,4.758724212646484,False
3E4jb52iLh,-2.2517551562709404,11.714167036764104,4.85,4.731205940246582,False
3E4jb52iLh,-2.292760290853459,11.673161902181587,3.52,4.690200805664063,False
3E4jb52iLh,-2.596952833883245,11.3689693591518,2.1899999999999995,4.386008262634277,False
3E4jb52iLh,-2.7727235934657646,11.19319859956928,0.8599999999999994,4.210237503051758,False
3E4jb52iLh,-3.0764350078029223,10.889487185232122,-0.4700000000000006,3.9065260887146,False
3E4jb52iLh,-3.468645252935369,10.497276940099676,-1.8,3.5143158435821533,False
3E4jb52iLh,-3.8632339618129325,10.102688231222112,-3.55,3.11972713470459,False
3E4jb52iLh,-4.211194195501287,9.754727997533758,-5.3,2.771766901016236,True
3E4jb52iLh,-4.587570347539861,9.378351845495184,-6.55,2.395390748977661,True
3E4jb52iLh,-5.094819226018865,8.87110296701618,-7.8,1.8881418704986568,True
3E4jb52iLh,-5.452709355108221,8.513212837926824,-5.0,1.5302517414093018,False
3E4jb52iLh,-5.934700169317205,8.03122202371784,-2.2,1.0482609272003174,False
3E4jb52iLh,-6.348663725606878,7.617258467428167,-3.5500000000000003,0.6342973709106445,False
3E4jb52iLh,-6.758555718414266,7.207366474620779,-4.9,0.2244053781032562,False
3E4jb52iLh,-6.97421559290566,6.991706600129385,-4.9,0.0087455036118626,False
3E4jb52iLh,-7.342368581048925,6.62355361198612,-4.9,-0.3594074845314026,False
3E4jb52iLh,-7.584598042718847,6.381324150316198,-4.4,-0.6016369462013245,False
3E4jb52iLh,-7.807209708444555,6.15871248459049,-3.9,-0.8242486119270325,False
3E4jb52iLh,-8.060418882123907,5.905503310911138,-2.9,-1.0774577856063845,False
3E4jb52iLh,-8.425383963338811,5.540538229696233,-1.9,-1.442422866821289,False
3E4jb52iLh,-8.694610752813299,5.271311440221746,-3.35,-1.7116496562957764,False
3E4jb52iLh,-8.948950924627264,5.016971268407781,-4.8,-1.9659898281097408,False
3E4jb52iLh,-9.214963831655462,4.750958361379583,-5.449999999999999,-2.2320027351379395,False
3E4jb52iLh,-9.29549876665302,4.670423426382024,-6.1,-2.312537670135498,False
