pid,lower_bound,upper_bound,actual_value,predicted_value,is_anomaly
3m8ox4pDb7,-3.8668609,1.1320094,-0.4999999999999998,-1.3674258,False
3m8ox4pDb7,-3.0249238,1.9739465,-0.4099999999999996,-0.52548873,False
3m8ox4pDb7,-2.242025,2.7568455,-0.8999999999999996,0.2574103,False
3m8ox4pDb7,-1.8760693,3.122801,-0.8899999999999998,0.6233658,False
3m8ox4pDb7,-1.7032213,3.295649,-0.1799999999999992,0.7962138,False
3m8ox4pDb7,-1.8656907,3.1331797,0.09999999999999995,0.63374454,False
3m8ox4pDb7,-2.0190763,2.979794,0.3099999999999996,0.48035875,False
3m8ox4pDb7,-2.1066234,2.892247,0.14999999999999994,0.39281172,False
3m8ox4pDb7,-2.161869,2.8370013,0.0699999999999995,0.3375662,False
3m8ox4pDb7,-2.1622636,2.8366067,0.4099999999999996,0.3371715,False
3m8ox4pDb7,-2.099384,2.8994863,0.7899999999999999,0.40005106,False
3m8ox4pDb7,-1.9744912,3.0243793,0.9200000000000003,0.52494395,False
3m8ox4pDb7,-1.7929014,3.2059689,1.37,0.7065338,False
3m8ox4pDb7,-1.5629785,3.4358919,1.6199999999999999,0.93645674,False
3m8ox4pDb7,-1.2928389,3.7060313,1.23,1.2065963,False
3m8ox4pDb7,-0.9886184,4.010252,1.5299999999999998,1.5108168,False
3m8ox4pDb7,-0.6574112,4.3414593,1.7100000000000002,1.842024,False
3m8ox4pDb7,-0.30651116,4.692359,2.220000000000001,2.192924,False
3m8ox4pDb7,0.057239532,5.05611,2.920000000000001,2.5566747,False
3m8ox4pDb7,0.42315078,5.422021,2.89,2.922586,False
3m8ox4pDb7,0.779783,5.778653,2.9999999999999987,3.2792182,False
3m8ox4pDb7,1.1195426,6.118413,4.14,3.6189778,False
3m8ox4pDb7,1.4352078,6.434078,4.5,3.934643,False
3m8ox4pDb7,1.72317,6.72204,3.8200000000000003,4.222605,False
3m8ox4pDb7,1.9856479,6.984518,4.590000000000002,4.485083,False
3m8ox4pDb7,2.2247427,7.223613,4.8500000000000005,4.724178,False
3m8ox4pDb7,2.4448879,7.443758,4.8500000000000005,4.944323,False
3m8ox4pDb7,2.6531522,7.6520224,4.92,5.1525874,False
3m8ox4pDb7,2.8545773,7.853448,5.059999999999999,5.3540125,False
3m8ox4pDb7,3.051781,8.050652,5.440000000000001,5.551216,False
3m8ox4pDb7,3.2469103,8.245781,5.990000000000001,5.7463455,False
3m8ox4pDb7,3.4377468,8.436617,5.619999999999999,5.937182,False
3m8ox4pDb7,3.6198456,8.618716,5.700000000000002,6.119281,False
3m8ox4pDb7,3.7861545,8.785025,6.58,6.2855897,False
3m8ox4pDb7,3.9265058,8.925376,6.719999999999999,6.425941,False
3m8ox4pDb7,4.0320873,9.030958,6.489999999999998,6.5315228,False
3m8ox4pDb7,4.0943184,9.093189,6.890000000000003,6.593754,False
3m8ox4pDb7,4.102994,9.101865,6.8100000000000005,6.6024294,False
3m8ox4pDb7,4.0487585,9.047629,7.020000000000001,6.548194,False
3m8ox4pDb7,3.9241726,8.923043,6.71,6.423608,False
3m8ox4pDb7,3.7208617,8.719732,6.25,6.220297,False
3m8ox4pDb7,3.4303606,8.429231,6.170000000000002,5.9297957,False
3m8ox4pDb7,3.0469491,8.045819,6.25,5.5463843,False
3m8ox4pDb7,2.567426,7.5662966,5.989999999999998,5.066861,False
3m8ox4pDb7,1.9936745,6.992545,4.819999999999999,4.4931097,False
3m8ox4pDb7,1.3332021,6.3320723,4.48,3.8326373,False
3m8ox4pDb7,0.59626293,5.5951333,3.3599999999999994,3.095698,False
3m8ox4pDb7,-0.20097995,4.7978907,2.6900000000000004,2.2984552,False
3m8ox4pDb7,-1.0391923,3.9596782,1.6499999999999992,1.4602429,False
3m8ox4pDb7,-1.8968456,3.1020248,0.8600000000000005,0.6025896,False
3m8ox4pDb7,-2.6950927,2.3037777,0.19000000000000017,-0.19565754,False
3m8ox4pDb7,-3.2608783,1.737992,-0.7599999999999995,-0.7614431,False
3m8ox4pDb7,-3.3812366,1.6176338,-1.8900000000000006,-0.8818013,False
3m8ox4pDb7,-2.4554913,2.543379,-2.420000000000001,0.043943923,False
3m8ox4pDb7,-1.9080052,3.0908651,-2.920000000000001,0.5914299,True
3m8ox4pDb7,-1.0789857,3.9198847,-3.6599999999999997,1.4204495,True
3m8ox4pDb7,-0.988006,4.0108643,-3.7830303030303023,1.5114292,True
3m8ox4pDb7,-0.8930769,4.1057935,-4.029090909090908,1.6063583,True
3m8ox4pDb7,-0.82839763,4.1704726,-4.2751515151515145,1.6710376,True
3m8ox4pDb7,-3.8290558,1.1698146,-0.4099999999999996,-1.3296206,False
3m8ox4pDb7,-2.96561,2.0332603,-0.8999999999999996,-0.4661749,False
3m8ox4pDb7,-2.1586328,2.8402376,-0.8899999999999998,0.34080246,False
3m8ox4pDb7,-1.7696931,3.2291772,-0.1799999999999992,0.72974205,False
3m8ox4pDb7,-1.5774248,3.4214456,0.09999999999999995,0.92201036,False
3m8ox4pDb7,-1.7227424,3.2761278,0.3099999999999996,0.77669275,False
3m8ox4pDb7,-1.862455,3.1364155,0.14999999999999994,0.6369802,False
3m8ox4pDb7,-1.9404657,3.0584047,0.0699999999999995,0.5589695,False
3m8ox4pDb7,-1.9884331,3.0104373,0.4099999999999996,0.51100206,False
3m8ox4pDb7,-1.9828229,3.0160475,0.7899999999999999,0.5166123,False
3m8ox4pDb7,-1.9142776,3.0845928,0.9200000000000003,0.5851576,False
3m8ox4pDb7,-1.7809529,3.2179174,1.37,0.7184822,False
3m8ox4pDb7,-1.5874813,3.411389,1.6199999999999999,0.911954,False
3m8ox4pDb7,-1.3411268,3.6577435,1.23,1.1583084,False
3m8ox4pDb7,-1.049217,3.9496534,1.5299999999999998,1.4502182,False
3m8ox4pDb7,-0.7211286,4.277742,1.7100000000000002,1.7783066,False
3m8ox4pDb7,-0.36677456,4.632096,2.220000000000001,2.1326606,False
