Date,3Y9Gx5WvKL,3Y9Gx5WvKM,3Y9Gx5XCNB,3Y9Gx5XCNC,3Y9Gx5XCNE,3Y9Gx5XCNG,3Y9Gx5XCNI,3Y9Gx5XCNJ,3Y9Gx5XCNM,3Y9Gx5XCNP,3Y9Gx5XCNQ,3Y9Gx5XCNW,3Y9Gx5XTQE,3Y9Gx5XTQF,3Y9Gx5XTQG,3Y9Gx5XTQJ,3Y9Gx5XTQK,3Y9Gx5XTQM,3Y9Gx5XTQU,3Y9Gx5XTQV,3Y9Gx5XkTJ,3Y9Gx5XkTK,3Y9Gx5XkTL,3Y9Gx5XkTP,3Y9Gx5XkTR,3Y9Gx5XkTW
2015-02-11,3.4618181818181823,4.665454545454546,-3.2436363636363623,-3.4527272727272713,1.98,-0.4836363636363637,-0.6781818181818202,-2.9836363636363625,1.2254545454545458,0.725454545454546,4.263636363636364,4.252727272727273,4.758181818181815,-1.365454545454545,0.6854545454545459,-0.7818181818181816,0.5490909090909079,4.4,1.1581818181818182,-0.7290909090909081,2.745454545454547,-0.09636363636363662,1.0090909090909093,1.152727272727272,1.563636363636364,-0.8490909090909096
2015-02-17,3.0669696969696973,4.1042424242424245,-2.923939393939393,-2.728787878787877,1.6566666666666665,-0.493939393939394,-0.43969696969697136,-2.127272727272726,1.2775757575757578,0.9142424242424246,3.8406060606060604,3.8954545454545455,3.959696969696967,-1.2675757575757571,0.7309090909090913,-0.6836363636363634,-0.21848484848484973,3.736666666666667,1.0563636363636364,-0.37484848484848393,2.667575757575759,-0.18272727272727296,0.864848484848485,1.228787878787878,1.5572727272727276,-0.8915151515151519
2015-02-23,2.6721212121212123,3.543030303030303,-2.604242424242423,-2.004848484848483,1.333333333333333,-0.5042424242424243,-0.20121212121212245,-1.2709090909090899,1.3296969696969698,1.1030303030303032,3.417575757575757,3.5381818181818177,3.1612121212121185,-1.1696969696969695,0.7763636363636366,-0.5854545454545452,-0.9860606060606073,3.0733333333333333,0.9545454545454546,-0.02060606060605974,2.5896969696969707,-0.26909090909090927,0.7206060606060607,1.3048484848484843,1.5509090909090912,-0.9339393939393943
2015-03-01,2.2772727272727273,2.981818181818182,-2.2845454545454533,-1.2809090909090894,1.0099999999999998,-0.5145454545454545,0.03727272727272646,-0.41454545454545366,1.3818181818181816,1.291818181818182,2.994545454545454,3.1809090909090902,2.3627272727272706,-1.0718181818181816,0.821818181818182,-0.487272727272727,-1.7536363636363648,2.4099999999999997,0.8527272727272727,0.3336363636363644,2.5118181818181826,-0.3554545454545457,0.5763636363636363,1.3809090909090904,1.5445454545454549,-0.9763636363636367
2015-03-07,1.8824242424242423,2.4206060606060604,-1.964848484848484,-0.5569696969696953,0.6866666666666663,-0.5248484848484849,0.2757575757575753,0.4418181818181828,1.4339393939393936,1.4806060606060605,2.571515151515151,2.8236363636363624,1.5642424242424222,-0.9739393939393937,0.8672727272727274,-0.3890909090909088,-2.5212121212121223,1.7466666666666661,0.7509090909090909,0.6878787878787886,2.4339393939393945,-0.441818181818182,0.432121212121212,1.4569696969696966,1.5381818181818185,-1.018787878787879
2015-03-13,1.4950000000000006,1.42,-1.575,0.8549999999999999,0.41500000000000026,-0.2699999999999999,1.1450000000000002,1.1299999999999994,1.6600000000000001,1.6849999999999998,1.92,2.2150000000000003,1.2550000000000003,-0.3750000000000001,1.3100000000000005,0.18000000000000008,-2.754999999999999,1.2850000000000001,0.62,0.8749999999999998,2.585,-0.575,0.3600000000000001,1.645,1.5250000000000001,-1.24
2015-03-19,1.3199999999999998,0.9349999999999998,-0.895,1.129999999999999,0.385,-0.10000000000000003,1.1150000000000002,1.4049999999999996,1.5649999999999997,1.7,1.5299999999999998,1.9300000000000002,0.9500000000000002,-0.23500000000000032,1.6800000000000002,0.5149999999999999,-2.6749999999999994,1.0300000000000005,0.47,1.03,3.2100000000000004,-0.3799999999999999,0.48000000000000004,1.5250000000000001,1.6500000000000001,-1.35
2015-03-25,1.16,0.6849999999999998,0.23499999999999988,0.6299999999999989,0.43499999999999994,-0.020000000000000018,0.30500000000000016,1.695,1.1749999999999998,1.6199999999999997,1.19,1.7900000000000003,0.2499999999999999,-0.5050000000000006,1.9999999999999996,0.6649999999999998,-2.6649999999999996,0.65,0.24999999999999994,1.33,4.27,0.10000000000000016,0.72,1.1350000000000002,1.91,-1.3699999999999999
2015-03-31,1.2999999999999998,0.6549999999999999,1.0749999999999993,0.5599999999999993,0.4949999999999998,0.22499999999999987,-0.15999999999999975,1.1950000000000003,0.8899999999999998,1.4000000000000001,0.725,1.1449999999999998,0.08499999999999983,-0.5400000000000003,2.3099999999999996,0.8749999999999998,-2.2199999999999998,0.2649999999999999,-0.0350000000000001,1.0599999999999996,4.915,0.43499999999999994,1.0549999999999997,0.8600000000000007,2.035,-1.9449999999999998
2015-04-06,1.74,0.8450000000000001,1.6249999999999991,0.9199999999999999,0.5649999999999997,0.6349999999999999,-0.27999999999999975,-0.09499999999999986,0.7099999999999999,1.04,0.13500000000000004,-0.0050000000000003375,0.4549999999999999,-0.3400000000000002,2.6099999999999994,1.1449999999999998,-1.34,-0.1250000000000001,-0.3850000000000001,0.21999999999999975,5.145,0.6249999999999999,1.4849999999999999,0.7000000000000007,2.025,-3.075000000000001
