Date,3m8ox52Pxs,3m8ox52Pxx,3m8ox52Pxy,3m8ox52Py3,3m8ox52h0o,3m8ox52h0p,3m8ox52h0r,3m8ox52h0u,3m8ox52h0z,3m8ox52h10,3m8ox52h14,3m8ox52h15,3m8ox52y3s,3m8ox52y3t,3m8ox52y3w,3m8ox52y41,3m8ox52y42,3m8ox53F6t,3m8ox53F6w,3m8ox53F6x,3m8ox53F7A
2015-02-02,-2.781818181818181,1.438181818181819,0.9127272727272727,-4.6090909090909085,0.3345454545454527,1.7436363636363625,-1.594545454545453,-1.4290909090909074,-2.75090909090909,-13.012727272727268,-3.6436363636363627,-5.794545454545455,-2.0618181818181824,-0.45999999999999863,6.329090909090911,-2.3781818181818153,-7.014545454545447,-3.527272727272727,-4.670909090909089,0.18363636363636188,-3.1436363636363622
2015-02-08,-2.323636363636363,1.6730303030303035,1.3654545454545457,-4.468181818181818,0.08909090909090739,1.3172727272727263,-1.6090909090909076,-1.1048484848484834,-2.6751515151515144,-11.015454545454542,-3.283939393939393,-5.5657575757575755,-2.2969696969696973,-0.6199999999999989,5.641515151515153,-2.226363636363634,-6.062424242424235,-2.714545454545454,-4.58181818181818,0.13727272727272577,-2.8706060606060593
2015-02-14,-1.8654545454545446,1.9078787878787882,1.8181818181818186,-4.327272727272727,-0.15636363636363793,0.8909090909090899,-1.6236363636363624,-0.7806060606060593,-2.5993939393939387,-9.018181818181814,-2.924242424242423,-5.336969696969696,-2.532121212121212,-0.7799999999999991,4.953939393939395,-2.074545454545452,-5.110303030303024,-1.901818181818181,-4.492727272727271,0.09090909090908968,-2.5975757575757563
2015-02-20,-1.4072727272727263,2.142727272727273,2.2709090909090914,-4.186363636363636,-0.4018181818181832,0.4645454545454535,-1.638181818181817,-0.4563636363636352,-2.5236363636363635,-7.020909090909088,-2.5645454545454536,-5.1081818181818175,-2.7672727272727276,-0.9399999999999993,4.2663636363636375,-1.9227272727272706,-4.158181818181813,-1.089090909090908,-4.4036363636363625,0.04454545454545358,-2.3245454545454534
2015-02-26,-0.9490909090909083,2.377575757575758,2.7236363636363645,-4.045454545454545,-0.6472727272727286,0.038181818181817206,-1.6527272727272717,-0.1321212121212112,-2.4478787878787878,-5.023636363636361,-2.2048484848484837,-4.879393939393938,-3.0024242424242424,-1.0999999999999996,3.5787878787878795,-1.770909090909089,-3.2060606060606016,-0.27636363636363503,-4.314545454545454,-0.0018181818181825238,-2.0515151515151504
2015-03-04,-0.14000000000000012,2.665,3.3099999999999996,-3.4050000000000002,-0.4299999999999999,-0.7049999999999998,-2.52,0.3899999999999999,-2.19,-3.575,-1.8150000000000002,-4.174999999999999,-3.7199999999999998,-2.14,2.065,-1.945,-2.83,1.39,-4.890000000000001,0.6850000000000005,-1.585
2015-03-10,0.2249999999999998,2.369999999999999,3.3800000000000003,-3.05,-0.9400000000000001,-0.6499999999999997,-2.75,0.38999999999999957,-2.3200000000000003,-2.3100000000000014,-1.605,-3.6999999999999997,-4.119999999999999,-2.1750000000000003,1.2549999999999997,-2.0549999999999993,-2.395,1.9749999999999999,-4.4350000000000005,1.1150000000000004,-1.2800000000000002
2015-03-16,0.3749999999999999,1.6099999999999999,3.16,-2.9099999999999997,-2.3000000000000007,-0.009999999999999842,-2.3499999999999996,0.029999999999999305,-2.8000000000000003,-0.2300000000000002,-1.395,-3.3399999999999994,-4.319999999999999,-1.285,0.8049999999999999,-2.025,-1.4250000000000003,1.8849999999999998,-2.9050000000000002,1.2650000000000001,-1.0000000000000004
2015-03-22,0.6274999999999998,1.5175,2.7225,-2.625,-2.9149999999999996,0.37249999999999983,-1.7175,-0.33750000000000013,-2.6000000000000005,1.0924999999999994,-1.1175000000000002,-3.07,-4.204999999999999,-0.47,0.41500000000000015,-1.6975,-0.6899999999999998,1.7649999999999997,-1.5500000000000007,0.2599999999999999,-0.7100000000000002
2015-03-28,0.9825,2.0925000000000007,2.0675000000000003,-2.1950000000000003,-2.7849999999999993,0.4974999999999996,-0.8525,-0.7125,-1.7200000000000002,1.6575,-0.7725,-2.8900000000000006,-3.775,0.26999999999999963,0.0850000000000003,-1.0725,-0.18999999999999972,1.615,-0.37000000000000133,-1.9000000000000004,-0.41000000000000003
2015-04-03,1.1949999999999998,1.85,1.51,-1.9650000000000003,-3.0199999999999996,0.6699999999999995,-0.21000000000000052,-0.9949999999999999,-0.9100000000000001,1.485,-0.7600000000000001,-2.7500000000000004,-3.28,0.8699999999999997,-0.42499999999999966,-0.30999999999999994,-0.3549999999999998,1.5000000000000002,0.8049999999999995,-3.0199999999999996,-0.17000000000000015
2015-04-09,1.265,0.7899999999999999,1.0500000000000003,-1.9349999999999998,-3.619999999999999,0.8899999999999998,0.2099999999999997,-1.1849999999999996,-0.17000000000000015,0.5750000000000002,-1.08,-2.650000000000001,-2.7199999999999998,1.3299999999999996,-1.1149999999999998,0.5900000000000002,-1.1849999999999998,1.4200000000000002,1.9749999999999996,-3.099999999999999,0.009999999999999863
2015-04-15,1.4300000000000002,0.16500000000000037,0.3250000000000005,-1.68,-3.335,1.0149999999999997,0.44999999999999984,-1.0999999999999999,0.020000000000000184,-0.22999999999999948,-1.315,-2.32,-2.4,1.6349999999999998,-1.6349999999999998,0.6550000000000005,-1.5449999999999997,1.1750000000000005,2.03,-2.8999999999999995,0.51
2015-04-21,1.6900000000000002,-0.024999999999999467,-0.6649999999999996,-1.1999999999999997,-2.165,1.0450000000000002,0.5099999999999998,-0.7399999999999998,-0.33999999999999986,-0.9299999999999994,-1.4649999999999999,-1.76,-2.3200000000000003,1.7850000000000001,-1.9849999999999997,-0.11499999999999982,-1.4349999999999996,0.7650000000000001,0.97,-2.4199999999999995,1.33
2015-04-27,1.895,-0.83,-1.2799999999999998,-0.8449999999999999,-1.7950000000000004,1.4700000000000002,1.4049999999999996,-0.5300000000000004,-1.1099999999999997,-1.6999999999999995,-1.45,-1.3849999999999998,-1.44,2.5500000000000003,-2.33,-0.8950000000000001,-1.63,0.5850000000000002,0.41500000000000037,-2.1999999999999997,1.9
2015-05-03,2.045,-2.2500000000000004,-1.5199999999999998,-0.615,-2.2250000000000005,2.29,3.135,-0.47000000000000053,-2.29,-2.539999999999999,-1.2699999999999998,-1.1949999999999998,0.23999999999999994,3.93,-2.67,-1.685,-2.1300000000000003,0.6350000000000003,0.36500000000000066,-2.24,2.2199999999999998
2015-05-09,2.275,-3.385,-2.2800000000000002,0.019999999999999962,-1.7700000000000005,2.1000000000000005,4.3549999999999995,0.17999999999999894,-2.3949999999999996,-2.5899999999999994,-1.5150000000000001,-1.1850000000000005,1.4899999999999995,4.51,-1.4749999999999999,-2.005,-2.35,0.85,0.31000000000000066,-2.62,2.5599999999999996
2015-05-15,2.585,-4.234999999999999,-3.560000000000001,1.06,-0.43000000000000005,0.9000000000000001,5.0649999999999995,1.419999999999999,-1.4249999999999996,-1.8499999999999994,-2.185,-1.3550000000000002,2.3099999999999996,4.289999999999999,1.2550000000000003,-1.8549999999999995,-2.29,1.23,0.2500000000000007,-3.3400000000000007,2.9199999999999995
