Date,3Y9Gx5llyC,3Y9Gx5m31G,3Y9Gx5m31L,3Y9Gx5m31M,3Y9Gx5m31Q,3Y9Gx5mK4H,3Y9Gx5mK4J,3Y9Gx5mK4M,3Y9Gx5mK4P,3Y9Gx5mb7F,3Y9Gx5mb7K,3Y9Gx5mb7N,3Y9Gx5mb7Q,3Y9Gx5mb7R,3Y9Gx5mb7S
2015-02-11,-2.030909090909092,2.412727272727273,3.545454545454545,0.5763636363636362,1.912727272727273,2.6363636363636367,-1.445454545454546,1.9927272727272733,3.0145454545454546,4.1381818181818195,2.474545454545455,0.9618181818181828,2.998181818181818,2.403636363636363,3.765454545454546
2015-02-17,-1.098484848484849,2.0521212121212122,3.007575757575757,0.27606060606060584,1.6587878787878791,2.4460606060606063,-1.2509090909090912,1.7821212121212127,2.795757575757576,3.873030303030304,2.5857575757575764,1.706969696969698,2.2396969696969693,2.043939393939393,3.147575757575758
2015-02-23,-0.16606060606060624,1.6915151515151514,2.469696969696969,-0.02424242424242451,1.404848484848485,2.255757575757576,-1.0563636363636366,1.571515151515152,2.576969696969697,3.6078787878787884,2.6969696969696972,2.452121212121213,1.4812121212121205,1.6842424242424237,2.52969696969697
2015-03-01,0.7663636363636366,1.3309090909090908,1.9318181818181808,-0.3245454545454549,1.1509090909090909,2.0654545454545454,-0.8618181818181818,1.3609090909090913,2.3581818181818184,3.342727272727273,2.8081818181818186,3.1972727272727277,0.7227272727272718,1.3245454545454538,1.911818181818182
2015-03-07,1.6987878787878796,0.97030303030303,1.3939393939393927,-0.6248484848484852,0.896969696969697,1.875151515151515,-0.6672727272727271,1.1503030303030304,2.139393939393939,3.0775757575757576,2.91939393939394,3.942424242424243,-0.03575757575757699,0.9648484848484842,1.293939393939394
2015-03-13,2.9349999999999996,0.8500000000000003,0.375,-0.8049999999999999,0.5500000000000002,1.7800000000000002,-0.35000000000000003,1.095,1.45,2.875,2.685,3.9849999999999985,-0.24499999999999933,0.7550000000000002,0.555
2015-03-19,4.085,1.1500000000000001,0.13000000000000028,-0.7850000000000001,0.385,1.875,0.2450000000000001,1.1249999999999998,1.135,3.19,2.665,3.92,-0.245,0.74,0.3249999999999999
2015-03-25,5.615000000000001,1.69,0.39000000000000024,-0.7150000000000004,0.27499999999999997,2.065,1.215,1.1349999999999998,1.085,3.8900000000000006,2.9149999999999996,4.119999999999999,-0.41500000000000037,0.74,0.2949999999999999
2015-03-31,5.725,2.155,0.9049999999999997,-0.5150000000000003,0.13999999999999996,2.155,1.9999999999999998,1.2199999999999998,1.0899999999999999,4.345,3.005,3.7150000000000007,-0.4350000000000003,0.855,-0.20000000000000018
2015-04-06,4.415,2.5449999999999995,1.6749999999999996,-0.18500000000000041,-0.020000000000000046,2.145,2.599999999999999,1.3799999999999997,1.15,4.555,2.9349999999999996,2.7050000000000005,-0.30500000000000027,1.085,-1.1600000000000001
2015-04-12,3.5749999999999997,2.8149999999999995,2.1899999999999995,0.19499999999999967,-0.16999999999999998,2.2449999999999997,3.2049999999999987,1.5849999999999997,1.0799999999999998,4.699999999999999,2.695,1.7950000000000008,-0.014999999999999958,1.3249999999999997,-1.5799999999999996
2015-04-18,3.205,2.9649999999999994,2.4499999999999997,0.6249999999999998,-0.3099999999999999,2.4549999999999996,3.814999999999999,1.8349999999999997,0.8800000000000001,4.779999999999999,2.2849999999999997,0.9850000000000002,0.43500000000000005,1.5750000000000002,-1.4599999999999995
2015-04-24,2.585000000000001,3.355,2.84,0.7949999999999999,-0.47499999999999976,2.685,4.21,2.0149999999999997,0.53,4.879999999999999,1.7900000000000003,0.4450000000000002,0.7200000000000002,1.62,-1.4049999999999998
2015-04-30,1.715,3.985,3.36,0.7049999999999998,-0.6649999999999998,2.935,4.390000000000001,2.125,0.029999999999999943,5.0,1.2100000000000002,0.17499999999999982,0.8400000000000003,1.4600000000000002,-1.4149999999999998
2015-05-06,0.9850000000000005,4.225,3.8699999999999997,0.7250000000000002,-0.8749999999999998,3.0549999999999997,4.58,2.125,-0.46,5.040000000000001,1.0,0.1999999999999999,0.7600000000000001,1.4900000000000007,-1.505
2015-05-12,0.39500000000000074,4.074999999999999,4.369999999999999,0.8550000000000003,-1.105,3.045,4.780000000000001,2.0149999999999997,-0.94,5.000000000000001,1.1600000000000001,0.5199999999999999,0.48000000000000015,1.7100000000000006,-1.6749999999999998
2015-05-18,-0.3599999999999988,3.8100000000000005,4.0249999999999995,0.835,-1.2899999999999998,2.915,4.715000000000001,2.02,-1.5149999999999997,4.584999999999999,1.075,0.6799999999999998,0.30000000000000004,1.5050000000000001,-1.56
2015-05-24,-1.2799999999999994,3.4299999999999997,2.835,0.665,-1.4299999999999997,2.665,4.385000000000002,2.1399999999999997,-2.1849999999999996,3.795,0.745,0.6799999999999997,0.21999999999999986,0.875,-1.1600000000000001
2015-05-30,-1.5749999999999997,3.505,1.505,0.49500000000000005,-1.465,2.72,4.385000000000001,2.315,-2.1799999999999997,3.4149999999999996,0.8299999999999998,0.9499999999999998,0.4849999999999999,0.65,-0.5250000000000001
2015-06-05,-1.2450000000000003,4.035,0.03500000000000014,0.325,-1.3950000000000005,3.08,4.715000000000001,2.545,-1.4999999999999996,3.4450000000000003,1.3299999999999996,1.49,1.095,0.8300000000000001,0.34499999999999986
2015-06-11,-0.6200000000000002,4.49,-0.6399999999999995,0.34500000000000014,-1.3800000000000001,3.3599999999999994,5.0,2.77,-1.39,3.5200000000000005,1.88,1.8450000000000004,1.4249999999999998,0.7649999999999999,0.8949999999999999
