pid;latitude;longitude;height
3m8ox50DWQ;51.112111;17.060592;120.3
3m8ox50DWR;51.112118;17.06065;120.3
3m8ox50DWV;51.112152;17.060929;122.2
3m8ox50DWY;51.112178;17.061142;123.8
3m8ox50DWa;51.112187;17.06122;121.9
3m8ox50DWb;51.112197;17.061299;122.8
3m8ox50DWg;51.112223;17.061516;119.1
3m8ox50DWr;51.112306;17.062196;120.3
3m8ox50DWs;51.112318;17.062295;122.2
3m8ox50DWt;51.112311;17.062237;116.6
3m8ox50DWu;51.112335;17.062433;123.1
3m8ox50DWv;51.112337;17.062452;121.1
3m8ox50DWx;51.112356;17.062609;122.9
3m8ox50DWz;51.112374;17.062762;124.5
3m8ox50DX1;51.112373;17.062751;118.4
3m8ox50DX3;51.112393;17.062911;120.4
3m8ox50DX6;51.112416;17.063108;121.2
3m8ox50DX7;51.112421;17.063142;120
3m8ox50DX8;51.112431;17.063225;121.1
3m8ox50DX9;51.112439;17.063291;121.5
3m8ox50DXA;51.112445;17.063341;121
3m8ox50DXB;51.112458;17.063453;123.5
3m8ox50DXC;51.112462;17.063479;121.9
3m8ox50DXH;51.112496;17.063766;121.4
3m8ox50DXJ;51.112509;17.063871;120.8
3m8ox50DXK;51.112516;17.063928;120.7
3m8ox50DXL;51.112522;17.063975;120.1
3m8ox50UZS;51.112236;17.06057;121.1
3m8ox50UZY;51.11229;17.061019;125.4
3m8ox50UZb;51.112303;17.06112;121.8
3m8ox50UZc;51.112307;17.061154;120.6
3m8ox50UZd;51.11232;17.061265;123
3m8ox50UZf;51.112325;17.061306;119.4
3m8ox50UZg;51.112334;17.061379;120
3m8ox50UZh;51.112338;17.061408;118.6
3m8ox50UZi;51.112345;17.061472;118.8
3m8ox50UZk;51.112367;17.061652;121.7
3m8ox50UZm;51.112376;17.06172;119.3
3m8ox50UZq;51.112413;17.062031;122.7
3m8ox50UZr;51.112415;17.062045;120.6
3m8ox50UZt;51.11243;17.062172;120.9
3m8ox50UZu;51.112435;17.062208;119.9
3m8ox50UZx;51.112458;17.062397;120.3
3m8ox50UZy;51.112468;17.062485;121.7
3m8ox50Ua1;51.112485;17.062624;119.9
3m8ox50Ua2;51.112497;17.062718;121.4
3m8ox50Ua4;51.112509;17.062815;120.5
3m8ox50Ua5;51.112515;17.062872;120.3
3m8ox50Ua7;51.112535;17.063031;122.2
3m8ox50Ua8;51.112535;17.063033;119.5
3m8ox50UaA;51.112547;17.063132;118.6
3m8ox50UaC;51.11257;17.063326;122.1
3m8ox50UaD;51.112585;17.063446;124.9
3m8ox50UaG;51.112593;17.063509;119.5
3m8ox50UaI;51.112613;17.063675;121.7
3m8ox50UaJ;51.112614;17.063688;119.6
3m8ox50UaL;51.112631;17.063825;120.4
3m8ox50UaN;51.112645;17.063939;120.2
3m8ox50UaO;51.112651;17.063993;119.9
3m8ox50UaQ;51.112665;17.064103;119.5
3m8ox50UaT;51.112686;17.064278;119.3
3m8ox50UaW;51.112705;17.064435;118.4
3m8ox50UaX;51.112717;17.064534;120.2
3m8ox50UaY;51.112726;17.064609;120.9
3m8ox50lcY;51.112401;17.06088;126.3
3m8ox50lcZ;51.11241;17.060952;126.9
3m8ox50lcc;51.112422;17.061051;123.2
3m8ox50lcd;51.112432;17.061134;124.3
3m8ox50lcf;51.112437;17.061172;120.5
3m8ox50lcg;51.112448;17.061263;121.9
3m8ox50lci;51.112457;17.061341;120.1
3m8ox50lcn;51.112503;17.061717;123.7
3m8ox50lcp;51.112508;17.061764;120.3
3m8ox50lcr;51.112518;17.061841;118.4
3m8ox50lcu;51.112544;17.062057;120.1
3m8ox50lcv;51.112551;17.062116;120.1
3m8ox50lcx;51.112563;17.062215;119.2
3m8ox50lcz;51.112581;17.062364;120.6
3m8ox50ld4;51.112619;17.062678;121.4
3m8ox50ld6;51.11264;17.062845;123.6
3m8ox50ld7;51.112649;17.06292;124.3
3m8ox50ld8;51.11265;17.062931;122.1
3m8ox50ldA;51.112661;17.063022;120.8
3m8ox50ldE;51.112705;17.063384;126.6
3m8ox50ldF;51.1127;17.063339;121.7
3m8ox50ldG;51.112719;17.063497;126.3
3m8ox50ldJ;51.112721;17.063514;118.7
3m8ox50ldL;51.112733;17.063613;117.8
3m8ox50ldM;51.112746;17.063723;120.2
3m8ox50ldO;51.112761;17.063847;120.4
3m8ox50ldP;51.112766;17.063889;119.6
3m8ox50ldQ;51.112774;17.063955;119.9
3m8ox50ldS;51.11279;17.064085;120.4
3m8ox50ldX;51.112823;17.064359;119.4
3m8ox50ldZ;51.112838;17.064482;119.5
3m8ox512fb;51.112519;17.060801;121.6
3m8ox512fe;51.112543;17.061001;122.6
3m8ox512ff;51.112546;17.061021;120.8
3m8ox512fg;51.112558;17.061124;122.8
3m8ox512fj;51.11257;17.061219;118.9
3m8ox512fl;51.112591;17.061391;121.4
3m8ox512fo;51.112617;17.061605;123
3m8ox512fp;51.112627;17.061689;124.2
3m8ox512fq;51.112636;17.061762;124.8
3m8ox512fr;51.112624;17.061665;117.5
3m8ox512fv;51.112668;17.062027;123.3
3m8ox512fx;51.112686;17.062179;124.9
3m8ox512fy;51.112692;17.062226;124.3
3m8ox512fz;51.112704;17.062324;126.1
3m8ox512g1;51.112709;17.06237;122.7
3m8ox512g4;51.112726;17.062508;120.8
3m8ox512g7;51.112745;17.062665;119.8
3m8ox512g9;51.112758;17.062771;119.2
3m8ox512gB;51.112772;17.062888;119.1
3m8ox512gG;51.112829;17.063356;127.1
3m8ox512gH;51.11283;17.063361;124.5
3m8ox512gI;51.112845;17.063489;127.8
3m8ox512gJ;51.112842;17.063465;123.8
3m8ox512gK;51.112857;17.063589;126.8
3m8ox512gL;51.112852;17.063544;122
3m8ox512gM;51.112864;17.063647;124
3m8ox512gO;51.112868;17.063679;119.9
3m8ox512gP;51.112875;17.063736;119.8
3m8ox512gQ;51.11288;17.063772;118.7
3m8ox512gR;51.112887;17.063835;118.9
3m8ox512gS;51.112892;17.063876;118
3m8ox512gU;51.112911;17.06403;119.7
3m8ox512gV;51.112924;17.064135;121.8
3m8ox512gW;51.112925;17.064143;119.4
3m8ox512gX;51.112937;17.064246;121.4
3m8ox51Jib;51.112635;17.06071;124.7
3m8ox51Jid;51.112646;17.060793;123
3m8ox51Jie;51.112661;17.060917;126
3m8ox51Jif;51.112659;17.060905;122.7
3m8ox51Jih;51.112672;17.061012;122.2
3m8ox51Jip;51.112723;17.061434;119.6
3m8ox51Jir;51.112752;17.061666;124.9
3m8ox51Jis;51.112758;17.061721;124.7
3m8ox51Jiw;51.112781;17.061908;122.3
3m8ox51Jix;51.112794;17.062014;124.5
3m8ox51Jiz;51.112813;17.062171;126.3
3m8ox51Jj0;51.112819;17.062224;126
3m8ox51Jj1;51.112828;17.062296;126.6
3m8ox51Jj2;51.112832;17.062327;125.2
3m8ox51Jj3;51.112834;17.062342;123.2
3m8ox51Jj9;51.112882;17.062742;125.2
3m8ox51JjB;51.112893;17.06283;123.7
3m8ox51JjC;51.112903;17.062911;124.7
3m8ox51JjF;51.112925;17.063095;125
3m8ox51JjG;51.112935;17.063179;126.2
3m8ox51JjH;51.11294;17.063223;125.4
3m8ox51JjM;51.112976;17.063519;125.4
3m8ox51JjQ;51.112992;17.063648;120.3
3m8ox51JjR;51.112997;17.063685;119.2
3m8ox51JjT;51.11301;17.063793;118.7
3m8ox51JjW;51.113039;17.064033;121.6
3m8ox51JjX;51.11305;17.064128;123.3
3m8ox51Jjc;51.113072;17.064304;117.6
3m8ox51ald;51.112762;17.060705;126.2
3m8ox51alf;51.112765;17.06073;121.8
3m8ox51alg;51.112776;17.060814;123
3m8ox51ali;51.112786;17.060903;121.6
3m8ox51all;51.112805;17.061057;120.5
3m8ox51alm;51.11281;17.061099;119.6
3m8ox51aln;51.112816;17.061148;119.1
3m8ox51alz;51.112904;17.061867;119.4
3m8ox51am0;51.112921;17.062012;123.4
3m8ox51am6;51.112954;17.062285;119.5
3m8ox51am8;51.112971;17.062422;120.3
3m8ox51amA;51.11299;17.062583;122.3
3m8ox51amD;51.113008;17.06273;120.8
3m8ox51amG;51.113041;17.063005;125.3
3m8ox51amH;51.113047;17.063047;124.5
3m8ox51amI;51.113054;17.063105;124.5
3m8ox51amJ;51.113062;17.063175;125
3m8ox51amM;51.11307;17.063236;119.5
3m8ox51amS;51.113114;17.063602;119.9
3m8ox51amV;51.113131;17.06374;118
3m8ox51amW;51.113151;17.063905;122.9
3m8ox51ama;51.11315;17.063901;111.6
3m8ox51amc;51.113187;17.064207;120.4
3m8ox51roe;51.112876;17.060592;125.5
3m8ox51rof;51.112886;17.060673;126.5
3m8ox51rog;51.112893;17.060727;126.3
3m8ox51rol;51.112914;17.060902;120.6
3m8ox51ron;51.112929;17.061027;120.9
3m8ox51roo;51.112934;17.061068;120
3m8ox51rp4;51.113058;17.062089;123.2
3m8ox51rp5;51.113061;17.062115;121.7
3m8ox51rp6;51.113065;17.062145;120.3
3m8ox51rp8;51.113075;17.062226;118.5
3m8ox51rpA;51.113098;17.062416;121.8
3m8ox51rpB;51.113108;17.062502;123.1
3m8ox51rpC;51.113112;17.062539;122
3m8ox51rpD;51.113113;17.062546;119.6
3m8ox51rpE;51.113132;17.062701;124
3m8ox51rpH;51.113148;17.062829;121.7
3m8ox51rpK;51.113163;17.062953;119.2
3m8ox51rpM;51.113194;17.063212;125.7
3m8ox51rpR;51.113223;17.063451;123
3m8ox51rpV;51.113244;17.063623;119.9
3m8ox51rpW;51.113254;17.063705;120.9
3m8ox51rpb;51.113274;17.063869;114.7
3m8ox528rf;51.112992;17.060496;125.6
3m8ox528rg;51.112999;17.060554;125.5
3m8ox528rh;51.113007;17.060623;126
3m8ox528ri;51.113017;17.060702;126.9
3m8ox528rj;51.113017;17.060699;124
3m8ox528rp;51.113049;17.060966;119.8
3m8ox528s1;51.113153;17.061823;126.5
3m8ox528s2;51.113143;17.061742;119.9
3m8ox528s3;51.113157;17.061853;122.3
3m8ox528sA;51.113202;17.062226;120.3
3m8ox528sB;51.113206;17.062258;119
3m8ox528sC;51.113221;17.062385;122.2
3m8ox528sG;51.113239;17.062529;117.8
3m8ox528sI;51.113258;17.062684;119.5
3m8ox528sL;51.113285;17.062911;121.8
3m8ox528sO;51.113313;17.063137;124
3m8ox528sS;51.113341;17.063371;123.8
3m8ox528sV;51.113358;17.063514;122.2
3m8ox528sZ;51.113392;17.06379;123.9
3m8ox528sa;51.113401;17.063864;124.6
3m8ox528sc;51.113405;17.063902;120.8
3m8ox528sd;51.1134;17.063859;116
3m8ox528se;51.113407;17.063913;115.8
3m8ox52Pum;51.113138;17.060645;120.5
3m8ox52Puq;51.113168;17.060891;120.9
3m8ox52Pur;51.113173;17.060934;120.1
3m8ox52Pus;51.113182;17.06101;120.8
3m8ox52Puu;51.113194;17.061108;119.8
3m8ox52Puv;51.113205;17.061199;121.4
3m8ox52Puw;51.11321;17.061237;120.4
3m8ox52Pv0;51.11324;17.061491;121.1
3m8ox52Pv2;51.113252;17.061585;119.9
3m8ox52Pv5;51.113276;17.061786;121
3m8ox52Pv8;51.113306;17.062032;124.1
3m8ox52PvD;51.113333;17.06225;120.4
3m8ox52PvF;51.113351;17.062404;122.1
