pid,longitude,latitude,height
366IZ1rVYn,17.30799,50.456953,194.8
366IZ1rVYp,17.307936,50.45696,191.7
366IZ1rVYq,17.307843,50.456971,193.1
366IZ1rVZJ,17.306093,50.457191,192.2
366IZ1rmbu,17.307662,50.456866,194.0
366IZ1rmcL,17.306046,50.457069,192.6
366IZ1s3fZ,17.305129,50.457056,199.2
366IZ1s3tc,17.251742,50.463732,219.5
366IZ1s3td,17.251728,50.463734,217.4
366IZ1s3te,17.251694,50.463738,216.2
366IZ1s3th,17.251603,50.463749,212.1
366IZ1sKiU,17.305694,50.456858,191.3
366IZ1sKwd,17.251825,50.463594,216.8
366IZ1sKwf,17.251739,50.463605,215.2
366IZ1sKwg,17.251636,50.463618,217.1
366IZ1ssoX,17.305668,50.456606,191.8
366IZ1t9rX,17.305686,50.456476,194.7
366IZ1tA5m,17.251597,50.463239,213.7
366IZ1tA5n,17.251555,50.463245,212.8
366IZ1tQuZ,17.305746,50.45634,190.3
366IZ1tQue,17.305453,50.456377,189.8
366IZ1tR8o,17.25159,50.463113,212.3
366IZ1uG3f,17.305615,50.455974,191.0
366IZ1uX6l,17.30532,50.455883,191.6
366IZ1uo9n,17.305236,50.455766,193.6
366IZ1uo9p,17.305244,50.455765,187.8
366IZ1v5Cr,17.305234,50.455638,186.5
366IZ1vuM3,17.304573,50.455338,194.6
366IZ1wBP3,17.304667,50.455199,194.1
366IZ1wjhp,17.256382,50.460983,207.6
366IZ1x0Y6,17.304804,50.454798,191.0
366IZ1x0kr,17.25641,50.460851,204.6
366IZ1x0kt,17.256345,50.46086,202.1
366IZ1xHb8,17.304713,50.454682,193.4
366IZ1xphD,17.304688,50.45443,188.3
366IZ1xphE,17.304676,50.454432,186.1
366IZ1yeqK,17.304388,50.454084,193.8
366IZ1yeqP,17.304079,50.454123,194.0
366IZ1yvtM,17.304408,50.453954,191.2
366IZ1yvtR,17.304016,50.454003,195.1
366IZ1zTzU,17.304053,50.453743,192.8
366IZ1zTzW,17.303857,50.453768,196.1
366IZ1zTzX,17.303805,50.453774,195.7
366IZ1zl2Y,17.303841,50.453642,195.1
366IZ2025W,17.304119,50.45348,191.9
366IZ20J8b,17.303903,50.453379,191.6
366IZ20J8d,17.303706,50.453404,195.0
366IZ20aBa,17.304072,50.45323,190.5
366IZ20aBb,17.303944,50.453246,193.5
366IZ20aBf,17.303686,50.453279,194.2
366IZ20rEd,17.303965,50.453116,190.9
366IZ21PKm,17.303391,50.452932,199.5
366IZ21PKn,17.30337,50.452935,197.7
366IZ21gNo,17.303405,50.452803,197.2
366IZ22VWn,17.303778,50.452373,194.3
366IZ22VWo,17.303728,50.452379,193.9
366IZ22mZq,17.303705,50.452255,193.2
366IZ22mZr,17.3037,50.452255,190.7
366IZ233cs,17.303623,50.452137,195.2
366IZ233ct,17.303636,50.452136,191.8
366IZ233cv,17.303563,50.452145,189.6
366IZ233d4,17.302887,50.452229,195.3
366IZ23Kfu,17.303528,50.452021,197.7
366IZ23Kfv,17.303541,50.45202,194.3
366IZ23Kfy,17.303462,50.45203,189.7
366IZ23Kfz,17.303357,50.452043,191.7
366IZ23Kg3,17.302945,50.452094,199.2
366IZ23bj2,17.303306,50.451922,189.5
366IZ23sm4,17.303169,50.451811,193.9
366IZ23sm7,17.302869,50.451848,199.2
366IZ249pD,17.302717,50.45174,193.3
366IZ24QsC,17.302745,50.451609,198.6
366IZ24hvB,17.303098,50.451437,189.2
366IZ24hvE,17.302741,50.451481,197.0
366IZ24hvF,17.302687,50.451488,196.7
366IZ24yyC,17.303065,50.451313,191.7
366IZ25X4L,17.302565,50.45112,197.0
366IZ26dGS,17.302618,50.450603,190.5
366IZ27BMU,17.302542,50.450357,195.9
366IZ27SPT,17.302714,50.450208,194.7
366IZ27SPZ,17.302364,50.450252,194.0
366IZ27jSa,17.302353,50.450126,195.5
366IZ27jSb,17.302365,50.450124,192.2
366IZ280Vb,17.302363,50.449997,196.1
366IZ280Vi,17.301937,50.45005,196.0
366IZ280Vj,17.301783,50.450069,200.2
366IZ28Ybg,17.302277,50.449752,193.7
366IZ28pei,17.302229,50.44963,194.2
366IZ296hk,17.302161,50.449511,195.5
366IZ296ho,17.301874,50.449547,197.4
366IZ296hs,17.301715,50.449567,193.6
366IZ29Nkr,17.301758,50.449434,198.2
366IZ29Nks,17.30177,50.449432,194.9
366IZ29Nku,17.301556,50.449459,199.0
366IZ29vr0,17.301482,50.449213,193.4
366IZ2ACtq,17.302231,50.448992,190.9
366IZ2ACtw,17.301788,50.449047,194.4
366IZ2ACu2,17.301463,50.449088,192.6
366IZ2ATws,17.302141,50.448875,193.2
366IZ2ATwz,17.30174,50.448925,192.1
366IZ2ATx4,17.301199,50.448993,202.7
366IZ2Al00,17.301744,50.448797,192.9
366IZ2AlLj,17.21981,50.459033,203.9
366IZ2B233,17.301573,50.448691,196.1
