pid,lower_bound,upper_bound,actual_value,predicted_value,is_anomaly
3E4jb52iLh,-10.597725079886224,9.738101588122156,10.17,-0.4298117458820343,True
3E4jb52iLh,-9.809260414473322,10.526566253535059,8.84,0.3586529195308685,False
3E4jb52iLh,-8.102541105381754,12.233285562626627,7.51,2.0653722286224365,False
3E4jb52iLh,-7.329113380543497,13.006713287464883,6.18,2.8387999534606934,False
3E4jb52iLh,-8.522071139447,11.81375552856138,4.85,1.64584219455719,False
3E4jb52iLh,-8.902468340031412,11.433358327976968,3.52,1.2654449939727783,False
3E4jb52iLh,-8.712087289921548,11.623739378086832,2.1899999999999995,1.4558260440826416,False
3E4jb52iLh,-7.775070325962808,12.560756342045572,0.8599999999999994,2.392843008041382,False
3E4jb52iLh,-6.394157783619669,13.941668884388712,-0.4700000000000006,3.7737555503845215,False
3E4jb52iLh,-5.60344161235502,14.73238505565336,-1.8,4.56447172164917,False
3E4jb52iLh,-5.662296192280557,14.673530475727823,-3.55,4.505617141723633,False
3E4jb52iLh,-6.843459503285196,13.492367164723184,-5.3,3.324453830718994,False
3E4jb52iLh,-8.47263254367521,11.86319412433317,-6.55,1.6952807903289795,False
3E4jb52iLh,-10.79459162198713,9.54123504602125,-7.8,-0.6266782879829407,False
3E4jb52iLh,-11.752566711537149,8.583259956471231,-5.0,-1.584653377532959,False
3E4jb52iLh,-12.007018701664713,8.328807966343668,-2.2,-1.8391053676605225,False
3E4jb52iLh,-12.250598327748087,8.085228340260294,-3.5500000000000003,-2.0826849937438965,False
3E4jb52iLh,-12.421621696583536,7.914204971424844,-4.9,-2.2537083625793457,False
3E4jb52iLh,-12.44019140445402,7.895635263554361,-4.9,-2.272278070449829,False
3E4jb52iLh,-12.542044298283365,7.793782369725015,-4.9,-2.374130964279175,False
3E4jb52iLh,-12.416211740605142,7.919614927403238,-4.4,-2.248298406600952,False
3E4jb52iLh,-12.500675813786295,7.835150854222086,-3.9,-2.3327624797821045,False
3E4jb52iLh,-12.55864729129484,7.777179376713541,-2.9,-2.3907339572906494,False
3E4jb52iLh,-12.648507492176797,7.687319175831583,-1.9,-2.4805941581726074,False
3E4jb52iLh,-12.738559381596353,7.597267286412027,-3.35,-2.570646047592163,False
3E4jb52iLh,-12.717153207890298,7.618673460118082,-4.8,-2.5492398738861084,False
3E4jb52iLh,-12.699180023304727,7.636646644703653,-5.449999999999999,-2.531266689300537,False
3E4jb52iLh,-12.593100444905069,7.742726223103311,-6.1,-2.425187110900879,False
3E4jb52iLh,-12.205651180378702,8.130175487629678,-5.199999999999999,-2.037737846374512,False
3E4jb52iLh,-12.465131179920938,7.870695488087442,-4.3,-2.297217845916748,False
3E4jb52iLh,-12.63294543468168,7.7028812333267,-0.5999999999999996,-2.4650321006774902,False
3E4jb52iLh,-12.648300783268716,7.687525884739664,3.1,-2.4803874492645264,False
3E4jb52iLh,-12.724361316792276,7.611465351216104,-2.35,-2.556447982788086,False
3E4jb52iLh,-12.768254892460611,7.567571775547769,-7.8,-2.600341558456421,False
3E4jb52iLh,-12.762726919285562,7.573099748722818,-4.85,-2.594813585281372,False
3E4jb52iLh,-11.939946429363992,8.395880238644388,-1.9,-1.7720330953598022,False
3E4jb52iLh,-11.305618898503091,9.030207769505289,2.0000000000000004,-1.1377055644989014,False
3E4jb52iLh,-11.878896610371378,8.456930057637003,5.9,-1.7109832763671875,False
3E4jb52iLh,-12.402990238301065,7.932836429707315,5.15,-2.235076904296875,False
3E4jb52iLh,-12.237617866627481,8.098208801380899,4.4,-2.069704532623291,False
3E4jb52iLh,-12.274932758442667,8.060893909565713,-0.5999999999999996,-2.107019424438477,False
3E4jb52iLh,-10.946219699017313,9.389606968991068,-5.6,-0.7783063650131226,False
